"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGB","FRGT","FRTH","GAHT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014826","FLINT FCWOS, MI US","1960-01-01",,,,,,,,,,"0.00","0.0","1.0",,"32","13",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-02",,,,,,,,,,"0.01","0.0","1.0",,"38","18",,,,,,,,,,,"    1",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-03",,,,,,,,,,"0.02","0.2","0.0",,"33","26",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-04",,,,,,,,,,"0.03","0.3","0.0",,"26","14",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-05",,,,,,,,,,"0.01","0.1","0.0",,"21","8",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-06",,,,,,,,,,"0.00","0.0","0.0",,"30","9",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-07",,,,,,,,,,"0.00","0.0","0.0",,"40","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-08",,,,,,,,,,"0.00","0.0","0.0",,"35","14",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-09",,,,,,,,,,"0.00","0.1","0.0",,"35","14",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-10",,,,,,,,,,"0.00","0.0","0.0",,"36","27",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-11",,,,,,,,,,"0.00","0.0","0.0",,"34","16",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-12",,,,,,,,,,"0.72","0.0","0.0",,"46","26",,,,,,,,,,,"    1",,,,,"    1",,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-13",,,,,,,,,,"0.17","0.0","0.0",,"42","32",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-14",,,,,,,,,,"0.00","0.0","0.0",,"35","31",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-15",,,,,,,,,,"0.44","0.8","0.0",,"33","20",,,,,,,,,,,"    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-16",,,,,,,,,,"0.00","0.0","1.0",,"27","19",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-17",,,,,,,,,,"0.00","0.0","1.0",,"29","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-18",,,,,,,,,,"0.44","5.0","1.0",,"29","24",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-19",,,,,,,,,,"0.04","0.7","6.0",,"29","20",,,,,,"0.6",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-20",,,,,,,,,,"0.02","0.5","4.0",,"24","12",,,,,,"0.5",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-01-21",,,,,,,,,,"0.00","0.1","4.0",,"25","11",,,,,,"0.5",,,,,"    1",,,,,,,,,,,,,,,,"    1",,,,
